link,food,img,tag,material,cooking_time,scrap
https://haemukja.com/recipes/5979,베이컨 숙주 볶음,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5979/mid_thumb_3.%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%87%E1%85%A1%E1%86%B8%E1%84%92%E1%85%A1%E1%86%AB%E1%84%80%E1%85%B3%E1%84%85%E1%85%B3%E1%86%BA_%E1%84%87%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A5%E1%86%AB%E1%84%89%E1%85%AE%E1%86%A8%E1%84%8C%E1%85%AE%E1%84%87%E1%85%A9%E1%86%A9%E1%84%8B%E1%85%B3%E1%86%B7_A.jpg&convert=jpgmin&rt=600,햄/소시지 볶음요리 술안주 실생활 요리 퓨전요리 자취 초보 요리 간단 재료 요리 동영상 레시피 간편 메인반찬,팽이버섯 마늘 청양고추 파 양파 베이컨 숙주 고추기름 굴소스 통후추 설탕 소금 깨,20분,87
https://haemukja.com/recipes/5968,두부스팸조림,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5968/mid_thumb_1.%E1%84%89%E1%85%A9%E1%84%89%E1%85%A9%E1%84%92%E1%85%AA%E1%86%BC_%E1%84%83%E1%85%AE%E1%84%87%E1%85%AE%E1%84%89%E1%85%B3%E1%84%91%E1%85%A2%E1%86%B7%E1%84%8C%E1%85%A9%E1%84%85%E1%85%B5%E1%86%B7_A.jpg&convert=jpgmin&rt=600,조림요리 술안주 실생활 요리 한식 요리 콩/두부 요리 15분 요리 자취 초보 요리 간단 재료 요리 혼밥 요리 동영상 레시피 간편 메인반찬,스팸 단단한 두부 마늘 청양고추 홍고추 대파 진간장 올리고당 감자전분 후추 검은깨,20분,186
https://haemukja.com/recipes/5966,수육&amp;굴무침,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5966/mid_thumb_6._%E1%84%89%E1%85%A9%E1%84%89%E1%85%A9%E1%84%92%E1%85%AA%E1%86%BC_%E1%84%89%E1%85%AE%E1%84%8B%E1%85%B2%E1%86%A8_A.jpg&convert=jpgmin&rt=600,돼지고기 찜요리 술안주 손님 접대 요리 실생활 요리 동영상 레시피 아이 성장/발육 ,삼겹살 양파 대파 된장 사과 커피 마늘 통후추 생강 월계수잎 맛술 청주 설탕 생굴 무 미나리 쪽파 청양고추 홍고추 고춧가루 배 액젓 식초 매실액,30분,43
https://haemukja.com/recipes/5962,치킨 스테이크,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5962/mid_thumb_15.%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%87%E1%85%A1%E1%86%B8%E1%84%92%E1%85%A1%E1%86%AB%E1%84%80%E1%85%B3%E1%84%85%E1%85%B3%E1%86%BA_%E1%84%8E%E1%85%B5%E1%84%8F%E1%85%B5%E1%86%AB%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3_A.jpg&convert=jpgmin&rt=600,닭고기 구이요리 술안주 손님 접대 요리 실생활 요리 한식 요리 간단 재료 요리 동영상 레시피 간편 메인반찬,닭다리살 쯔유 소금 올리고당 다진마늘 통후추 올리브유,20분,55
https://haemukja.com/recipes/5961,단짠단짠 궁중떡볶이,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5961/mid_thumb_10._%E1%84%8B%E1%85%AD%E1%84%85%E1%85%B5%E1%84%86%E1%85%A1%E1%86%AB%E1%84%8E%E1%85%A1%E1%86%AB_%E1%84%80%E1%85%AE%E1%86%BC%E1%84%8C%E1%85%AE%E1%86%BC%E1%84%84%E1%85%A5%E1%86%A8%E1%84%87%E1%85%A9%E1%86%A9%E1%84%8B%E1%85%B5_A.jpg&convert=jpgmin&rt=600,쇠고기 볶음요리 간식/야식 술안주 실생활 요리 한식 요리 간단 재료 요리 동영상 레시피 간편 메인반찬 아이 간식,가래떡 소고기 당근 양파 대파 표고버섯 파프리카 참기름 굴소스 간장 올리고당 맛술 다진마늘,20분,65
https://haemukja.com/recipes/5960,어묵탕,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5960/mid_thumb_5._%E1%84%89%E1%85%A9%E1%84%89%E1%85%A9%E1%84%92%E1%85%AA%E1%86%BC_%E1%84%8B%E1%85%A9%E1%84%83%E1%85%A6%E1%86%BC%E1%84%90%E1%85%A1%E1%86%BC_A.jpg&convert=jpgmin&rt=600,수산가공품 국/탕요리 술안주 손님 접대 요리 실생활 요리 한식 요리 자취 초보 요리 동영상 레시피,종합어묵팩 대파 양파 무 청양고추 건고추 청경채 다시마 멸치 건새우 다진마늘 국간장 소금 후추,20분,75
https://haemukja.com/recipes/5958,양송이치즈구이,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5958/mid_thumb_4._%E1%84%89%E1%85%A9%E1%84%89%E1%85%A9%E1%84%92%E1%85%AA%E1%86%BC_%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%89%E1%85%A9%E1%86%BC%E1%84%8B%E1%85%B5%E1%84%8E%E1%85%B5%E1%84%8C%E1%85%B3%E1%84%80%E1%85%AE%E1%84%8B%E1%85%B5_A.jpg&convert=jpgmin&rt=600,구이요리 간식/야식 술안주 손님 접대 요리 퓨전요리 채소류 요리 15분 요리 간단 재료 요리 동영상 레시피 아이 간식 다이어트 요리,양송이버섯 파프리카 베이컨 대파 청양고추 모짜렐라치즈 체다치즈 버터 우유 소금 후추 파슬리가루,20분,126
https://haemukja.com/recipes/5957,홈메이드 간단 닭꼬치,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5957/mid_thumb_3._%E1%84%89%E1%85%A9%E1%84%89%E1%85%A9%E1%84%92%E1%85%AA%E1%86%BC_%E1%84%83%E1%85%A1%E1%86%B0%E1%84%81%E1%85%A9%E1%84%8E%E1%85%B5_A.jpg&convert=jpgmin&rt=600,닭고기 구이요리 술안주 손님 접대 요리 파티/명절요리 퓨전요리 간단 재료 요리 동영상 레시피 간편 메인반찬,닭순살 대파 오이고추 양조간장 다진마늘 고춧가루 고추장 생강즙 굴소스 소금 설탕 물엿 청주 후추,30분,58
https://haemukja.com/recipes/5951,치즈돈까스,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5951/mid_thumb_7._%E1%84%8B%E1%85%AD%E1%84%85%E1%85%B5%E1%84%86%E1%85%A1%E1%86%AB%E1%84%8E%E1%85%A1%E1%86%AB_%E1%84%8B%E1%85%A7%E1%86%AB%E1%84%83%E1%85%A9%E1%86%AB%E1%84%83%E1%85%A9%E1%86%AB%E1%84%81%E1%85%A1%E1%84%89%E1%85%B3_A.jpg&convert=jpgmin&rt=600,돼지고기 튀김요리 술안주 손님 접대 요리 실생활 요리 퓨전요리 혼밥 요리 동영상 레시피,돼지등심 모짜렐라치즈(블럭) 양배추 계란 빵가루 밀가루 돈까스소스 후추 소금,30분,36
https://haemukja.com/recipes/5946,크림 닭가슴살 스테이크,https://cloudfront.haemukja.com/vh.php?url=https://d1hk7gw6lgygff.cloudfront.net/uploads/recipe/image_file/5946/mid_thumb_5._%E1%84%8B%E1%85%AD%E1%84%85%E1%85%B5%E1%84%86%E1%85%A1%E1%86%AB%E1%84%8E%E1%85%A1%E1%86%AB_%E1%84%8F%E1%85%B3%E1%84%85%E1%85%B5%E1%86%B7%E1%84%83%E1%85%A1%E1%86%B0%E1%84%80%E1%85%A1%E1%84%89%E1%85%B3%E1%86%B7%E1%84%89%E1%85%A1%E1%86%AF%E1%84%89%E1%85%B3%E1%84%90%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%B3_A.jpg&convert=jpgmin&rt=600,닭고기 구이요리 술안주 손님 접대 요리 양식 요리 혼밥 요리 동영상 레시피,닭가슴살 양송이버섯 생크림 우유 버터 다진마늘 후추 소금 레드와인,30분,74
